vessels,assignedObjects
LNG Port Harcourt,"Cargo 38, Cargo 60, Cargo 88, Cargo 116, Cargo 141, Cargo 177, Cargo 192, Cargo 215"
LNG River Niger,"Cargo 11, Cargo 30, Cargo 68, Cargo 89, Cargo 109, Cargo 109a, Cargo 161, Cargo 203"
LNG River Orashi,"Cargo 6, Cargo 49, Cargo 98, RO drydock, Cargo 205"
LNG Sokoto,"Cargo 7, Cargo 34, Cargo 90, Cargo 140, Cargo 174, Cargo 201"
LNG Ondo,"Cargo 20, Cargo 51, Cargo 76, Cargo 76a, Cargo 128, Cargo 173, Cargo 213"
LNG Ogun,"Cargo 27, Cargo 73, Cargo 94, Cargo 121, Cargo 145, Cargo 163, Cargo 200"
LNG Lagos,"Cargo 13, Cargo 43, Cargo 75, Cargo 103, Lagos, Cargo 154, Cargo 183, Cargo 208"
LNG Oyo,"Cargo 22, Cargo 47, Cargo 64, Cargo 83, Cargo 110, Cargo 132, Cargo 191, Cargo 224"
LNG Lokoja,"Cargo 12, Cargo 37, Cargo 62, Cargo 91, Cargo 114, Cargo 131, Cargo 171, Cargo 207"
LNG Rivers,"Cargo 18, Cargo 45, Cargo 82, Cargo 117, Cargo 143, Cargo 164, Cargo 185, Cargo 210"
LNG Kano,"Cargo 26, Cargo 71, Cargo 97, Cargo 149, Cargo 166, Cargo 188"
